arm,case,dice,hd95_mm,gt_ml,pred_ml,gt_empty,pred_empty,spacing_x,spacing_y,spacing_z
rung2_amos_ct,amos_0337,0.943814,2.6073,177.223,179.218,0,0,0.748046875,0.748046875,2.0
rung2_amos_ct,amos_0339,0.946124,2.5939,218.057,207.528,0,0,0.583984375,0.583984375,2.0
rung2_amos_ct,amos_0341,0.792606,11.5512,152.345,105.298,0,0,0.609375,0.609375,5.0
rung2_amos_ct,amos_0342,0.0,,467.682,0.0,0,1,0.615234375,0.615234375,5.0
rung2_amos_ct,amos_0344,0.944314,2.0,94.8,91.553,0,0,0.5859375,0.5859375,2.0
rung2_amos_ct,amos_0346,0.119724,141.6107,765.175,82.0,0,0,0.62109375,0.62109375,5.0
rung2_amos_ct,amos_0348,0.965864,2.0,216.913,217.749,0,0,0.67578125,0.67578125,2.0
rung2_amos_ct,amos_0349,0.0,,512.966,0.0,0,1,0.703125,0.703125,5.0
rung2_amos_ct,amos_0350,0.151137,44.8304,191.316,15.639,0,0,0.62109375,0.62109375,2.0
rung2_amos_ct,amos_0351,0.933405,3.8153,299.354,269.016,0,0,0.703125,0.703125,1.25
rung2_amos_ct,amos_0352,0.847814,10.3095,147.467,109.056,0,0,0.6953125,0.6953125,5.0
rung2_amos_ct,amos_0353,0.958882,2.0,191.402,186.686,0,0,0.650390625,0.650390625,2.0
rung2_amos_ct,amos_0356,0.736597,24.4759,159.056,94.299,0,0,0.703125,0.703125,2.5
rung2_amos_ct,amos_0357,0.929228,3.9644,114.524,111.398,0,0,0.619140625,0.619140625,2.0
rung2_amos_ct,amos_0358,0.85839,15.8707,96.501,87.851,0,0,0.6191409826278687,0.6191409826278687,1.25
rung2_amos_ct,amos_0361,0.942159,2.1743,153.248,136.904,0,0,0.52734375,0.52734375,5.0
rung2_amos_ct,amos_0362,0.863924,8.4466,258.319,198.648,0,0,0.6497395634651184,0.6497395634651184,5.0
rung2_amos_ct,amos_0363,0.215549,34.866,93.165,11.254,0,0,0.5078125,0.5078125,5.0
rung2_amos_ct,amos_0364,0.902544,5.1971,262.882,232.973,0,0,0.48046875,0.48046875,5.0
rung2_amos_ct,amos_0365,0.910845,5.0719,175.404,147.588,0,0,0.6015625,0.6015625,5.0
rung2_amos_ct,amos_0366,0.923193,5.671,199.92,172.504,0,0,0.53515625,0.53515625,5.0
rung2_amos_ct,amos_0367,0.922935,3.2552,124.249,108.07,0,0,0.6510416865348816,0.6510416865348816,5.0
rung2_amos_ct,amos_0368,0.573081,135.0037,146.231,302.741,0,0,0.56640625,0.56640625,5.0
rung2_amos_ct,amos_0370,0.634127,21.4193,117.656,54.624,0,0,0.6458333134651184,0.6458333134651184,5.0
rung2_amos_ct,amos_0371,0.941082,2.5362,275.895,253.992,0,0,0.4973958432674408,0.4973958432674408,5.0
rung2_amos_ct,amos_0372,0.931944,2.5971,167.802,147.832,0,0,0.5807291865348816,0.5807291865348816,5.0
rung2_amos_ct,amos_0373,0.162742,51.9009,119.475,10.583,0,0,0.6158854365348816,0.6158854365348816,5.0
rung2_amos_ct,amos_0374,0.825735,10.4286,213.135,150.081,0,0,0.640625,0.640625,5.0
rung2_amos_ct,amos_0376,0.0,,54.701,0.0,0,1,0.54296875,0.54296875,5.0
rung2_amos_ct,amos_0377,0.918202,3.2609,112.521,103.469,0,0,0.4479166567325592,0.4479166567325592,5.0
rung2_amos_ct,amos_0378,0.930186,3.4078,184.686,165.178,0,0,0.6328125,0.6328125,5.0
rung2_amos_ct,amos_0379,0.910775,4.4268,219.559,191.654,0,0,0.6080729365348816,0.6080729365348816,5.0
rung2_amos_ct,amos_0380,0.933809,1.9188,132.703,116.624,0,0,0.6067708134651184,0.6067708134651184,5.0
rung2_amos_ct,amos_0381,0.931232,2.5833,146.561,128.653,0,0,0.6458333134651184,0.6458333134651184,5.0
rung2_amos_ct,amos_0383,0.836152,19.357,135.366,97.68,0,0,0.60546875,0.60546875,5.0
rung2_amos_ct,amos_0384,0.0,,117.628,0.0,0,1,0.4622395932674408,0.4622395932674408,5.0
rung2_amos_ct,amos_0385,0.95512,1.4529,148.012,137.568,0,0,0.6497395634651184,0.6497395634651184,5.0
rung2_amos_ct,amos_0387,0.921946,5.2058,243.006,211.554,0,0,0.58203125,0.58203125,5.0
rung2_amos_ct,amos_0388,0.769392,25.1946,165.876,110.651,0,0,0.4817708432674408,0.4817708432674408,5.0
rung2_amos_ct,amos_0390,0.848635,10.5733,195.078,144.985,0,0,0.62109375,0.62109375,5.0
rung2_amos_ct,amos_0391,0.950923,1.9453,324.201,296.23,0,0,0.97265625,0.97265625,5.0
rung2_amos_ct,amos_0392,0.936025,2.3991,132.591,119.232,0,0,0.5364583134651184,0.5364583134651184,5.0
rung2_amos_ct,amos_0395,0.571458,36.5076,265.312,123.207,0,0,0.4622395932674408,0.4622395932674408,5.0
rung2_amos_ct,amos_0396,0.949502,2.0341,272.986,248.879,0,0,0.6432291865348816,0.6432291865348816,5.0
rung2_amos_ct,amos_0397,0.0,,188.746,0.0,0,1,0.51171875,0.51171875,5.0
rung2_amos_ct,amos_0398,0.896803,4.7797,93.637,77.015,0,0,0.6276041865348816,0.6276041865348816,5.0
rung2_amos_ct,amos_0399,0.936553,3.4599,160.181,151.674,0,0,0.4752604067325592,0.4752604067325592,5.0
rung2_amos_ct,amos_0400,0.54199,33.5633,131.462,48.875,0,0,0.4674479067325592,0.4674479067325592,5.0
rung2_amos_ct,amos_0401,0.954914,1.5742,201.312,186.311,0,0,0.5247395634651184,0.5247395634651184,5.0
rung2_amos_ct,amos_0402,0.949448,1.7458,289.78,264.045,0,0,0.5520833134651184,0.5520833134651184,5.0
rung2_amos_ct,amos_0403,0.930168,3.6018,189.315,165.189,0,0,0.5625,0.5625,5.0
rung2_amos_ct,amos_0404,0.0,,97.161,0.0,0,1,0.53515625,0.53515625,5.0
rung2_amos_ct,amos_0405,0.935956,2.497,191.803,177.084,0,0,0.5885416865348816,0.5885416865348816,5.0
rung2_amos_ct,amos_0406,0.589463,17.1269,186.601,80.212,0,0,0.5559895634651184,0.5559895634651184,5.0
rung2_amos_ct,amos_0408,0.762585,12.9646,220.388,135.91,0,0,0.6145833134651184,0.6145833134651184,5.0
rung2_amos_ct,amos_0409,0.950104,2.5125,229.13,214.914,0,0,0.609375,0.609375,5.0
rung2_amos_ct,amos_0410,0.033787,35.2422,170.202,2.925,0,0,0.5833333134651184,0.5833333134651184,5.0
